name,start_time,"data","error"
"Async Serial",1.516104,0x8000,
"Async Serial",1.51797967,0x0000,"framing"
"Async Serial",1.51985533,0x0000,"framing"
"Async Serial",1.521731,0x0000,"framing"
"Async Serial",1.52390533,0x0000,
"Async Serial",1.525781,0x0000,"framing"
"Async Serial",1.52765667,0x0000,"framing"
"Async Serial",1.5328685,0x0000,"framing"
"Async Serial",1.53474417,0x0000,"framing"
"Async Serial",1.53661983,0x0000,"framing"
"Async Serial",1.5384955,0x0000,"framing"
"Async Serial",1.54069042,0x0000,
"Async Serial",1.54256608,0x0000,"framing"
"Async Serial",1.54444175,0x0000,"framing"
"Async Serial",1.54959867,0x0000,"framing"
"Async Serial",1.55147433,0x0000,"framing"
"Async Serial",1.55335,0x0000,"framing"
"Async Serial",1.55522558,0x0000,"framing"
"Async Serial",1.55741408,0x0000,
"Async Serial",1.55928975,0x0000,"framing"
"Async Serial",1.56116542,0x0000,"framing"
"Async Serial",1.56621717,0x8000,
"Async Serial",1.56809283,0x0000,"framing"
"Async Serial",1.5699685,0x0000,"framing"
"Async Serial",1.57184417,0x0000,"framing"
"Async Serial",1.57401558,0x0000,
"Async Serial",1.57589125,0x0000,"framing"
"Async Serial",1.57776692,0x0000,"framing"
"Async Serial",1.58306025,0x8000,
"Async Serial",1.58493592,0x0000,"framing"
"Async Serial",1.58681158,0x0000,"framing"
"Async Serial",1.58868725,0x0000,"framing"
"Async Serial",1.59086142,0x0000,
"Async Serial",1.59273708,0x0000,"framing"
"Async Serial",1.59461275,0x0000,"framing"
"Async Serial",1.59979208,0xC000,
"Async Serial",1.60166775,0x0000,"framing"
"Async Serial",1.60354342,0x0000,"framing"
"Async Serial",1.60541908,0x0000,"framing"
"Async Serial",1.60758467,0x0000,
"Async Serial",1.60946033,0x0000,"framing"
"Async Serial",1.611336,0x0000,"framing"
"Async Serial",1.61653475,0xF000,
"Async Serial",1.61841042,0x0000,"framing"
"Async Serial",1.62028608,0x0000,"framing"
"Async Serial",1.62216175,0x0000,"framing"
"Async Serial",1.62430883,0x0000,
"Async Serial",1.6261845,0x0000,"framing"
"Async Serial",1.62806017,0x0000,"framing"
"Async Serial",1.63327617,0x0000,"framing"
"Async Serial",1.63515183,0x0000,"framing"
"Async Serial",1.6370275,0x0000,"framing"
"Async Serial",1.63890317,0x0000,"framing"
"Async Serial",1.641093,0x0000,
"Async Serial",1.64296867,0x0000,"framing"
"Async Serial",1.64484433,0x0000,"framing"
"Async Serial",1.64991983,0xF000,
"Async Serial",1.6517955,0x0000,"framing"
"Async Serial",1.65367117,0x0000,"framing"
"Async Serial",1.65554683,0x0000,"framing"
"Async Serial",1.65769508,0x0000,
"Async Serial",1.65957075,0x0000,"framing"
"Async Serial",1.66144642,0x0000,"framing"
"Async Serial",1.66676042,0xE000,
"Async Serial",1.66863608,0x0000,"framing"
"Async Serial",1.67051175,0x0000,"framing"
"Async Serial",1.67238742,0x0000,"framing"
"Async Serial",1.67454083,0x0000,
"Async Serial",1.6764165,0x0000,"framing"
"Async Serial",1.67829208,0x0000,"framing"
"Async Serial",1.68329675,0xE000,
"Async Serial",1.68517242,0x0000,"framing"
"Async Serial",1.68704808,0x0000,"framing"
"Async Serial",1.68892375,0x0000,"framing"
"Async Serial",1.69108092,0x0000,
"Async Serial",1.69295658,0x0000,"framing"
"Async Serial",1.69483225,0x0000,"framing"
"Async Serial",1.69965708,0xE000,
"Async Serial",1.70153275,0x0000,"framing"
"Async Serial",1.70340842,0x0000,"framing"
"Async Serial",1.70528408,0x0000,"framing"
"Async Serial",1.70743833,0x0000,
"Async Serial",1.709314,0x0000,"framing"
"Async Serial",1.71118967,0x0000,"framing"
"Async Serial",1.71306533,0x0000,"framing"
"Async Serial",1.71634642,0x0000,"framing"
"Async Serial",1.71822208,0x0000,"framing"
"Async Serial",1.72009775,0x0000,"framing"
"Async Serial",1.72197342,0x0000,"framing"
"Async Serial",1.72416225,0x0000,
"Async Serial",1.72603792,0x0000,"framing"
"Async Serial",1.72791358,0x0000,"framing"
"Async Serial",1.72978925,0x0000,"framing"
"Async Serial",1.73315808,0xC000,
"Async Serial",1.73503375,0x0000,"framing"
"Async Serial",1.73690942,0x0000,"framing"
"Async Serial",2.01723758,0x0000,"framing"
"Async Serial",2.02255075,0x0000,"framing"
"Async Serial",21.1330724,0x0000,
"Async Serial",21.1332447,0x0000,"framing"
"Async Serial",21.1498152,0xB9A0,
"Async Serial",21.1499874,0xFFF8,
"Async Serial",21.1665579,0xB9A0,
"Async Serial",21.1667301,0xFFF8,
"Async Serial",21.1833003,0xB9A0,
"Async Serial",21.1834725,0xFFF8,
"Async Serial",21.2000434,0xB9A0,
"Async Serial",21.2002156,0xFFF8,
"Async Serial",21.2167859,0xB9A0,
"Async Serial",21.2169581,0xFFF8,
"Async Serial",21.2335289,0xB9A0,
"Async Serial",21.2337012,0xFFF8,
"Async Serial",21.2502714,0xB9A0,
"Async Serial",21.2504435,0xFFF8,
"Async Serial",21.2670141,0xB9A0,
"Async Serial",21.2671863,0xFFF8,
"Async Serial",21.2837571,0xB9A0,
"Async Serial",21.2839292,0xFFF8,
"Async Serial",21.3004995,0xB9A0,
"Async Serial",21.3006717,0xFFF8,
"Async Serial",21.3172425,0xB9A0,
"Async Serial",21.3174148,0xFFF8,
"Async Serial",21.333985,0xB9A0,
"Async Serial",21.3341573,0xFFF8,
"Async Serial",21.3507278,0xB9A0,
"Async Serial",21.3509,0xFFF8,
"Async Serial",21.3674704,0xB9A0,
"Async Serial",21.3676426,0xFFF8,
"Async Serial",21.3842132,0xB9A0,
"Async Serial",21.3843854,0xFFF8,
"Async Serial",21.4009563,0xB9A0,
"Async Serial",21.4011284,0xFFF8,
"Async Serial",21.417699,0xB9A0,
"Async Serial",21.4178712,0xFFF8,
"Async Serial",21.4344416,0xB9A0,
"Async Serial",21.4346138,0xFFF8,
"Async Serial",21.4511843,0xB9A0,
"Async Serial",21.4513565,0xFFF8,
"Async Serial",21.4679272,0xB9A0,
"Async Serial",21.4680994,0xFFF8,
"Async Serial",21.4846699,0xB9A0,
"Async Serial",21.4848421,0xFFF8,
"Async Serial",21.5014126,0xB9A0,
"Async Serial",21.5015848,0xFFF8,
"Async Serial",21.5181551,0xB9A0,
"Async Serial",21.5183273,0xFFF8,
"Async Serial",21.5348978,0xB9A0,
"Async Serial",21.53507,0xFFF8,
"Async Serial",21.5516406,0xB9A0,
"Async Serial",21.5518128,0xFFF8,
"Async Serial",21.5683836,0xB9A0,
"Async Serial",21.5685558,0xFFF8,
"Async Serial",21.585126,0xB9A0,
"Async Serial",21.5852983,0xFFF8,
"Async Serial",21.6018688,0xB9A0,
"Async Serial",21.602041,0xFFF8,
"Async Serial",21.6186115,0xB9A0,
"Async Serial",21.6187837,0xFFF8,
"Async Serial",21.6353545,0xB9A0,
"Async Serial",21.6355267,0xFFF8,
"Async Serial",21.6520973,0xB9A0,
"Async Serial",21.6522694,0xFFF8,
"Async Serial",21.6688397,0xB9A0,
"Async Serial",21.6690118,0xFFF8,
"Async Serial",21.6855826,0xB9A0,
"Async Serial",21.6857548,0xFFF8,
"Async Serial",21.7023255,0xB9A0,
"Async Serial",21.7024977,0xFFF8,
"Async Serial",21.7190679,0xB9A0,
"Async Serial",21.7192401,0xFFF8,
"Async Serial",21.7358107,0xB9A0,
"Async Serial",21.7359828,0xFFF8,
"Async Serial",21.7525537,0xB9A0,
"Async Serial",21.7527258,0xFFF8,
"Async Serial",21.7692961,0xB9A0,
"Async Serial",21.7694682,0xFFF8,
"Async Serial",21.7860388,0xB9A0,
"Async Serial",21.786211,0xFFF8,
"Async Serial",21.8027816,0xB9A0,
"Async Serial",21.8029538,0xFFF8,
"Async Serial",21.8195247,0xB9A0,
"Async Serial",21.8196969,0xFFF8,
"Async Serial",21.8362671,0xB9A0,
"Async Serial",21.8364393,0xFFF8,
"Async Serial",21.8530101,0xB9A0,
"Async Serial",21.8531822,0xFFF8,
"Async Serial",21.8697528,0xB9A0,
"Async Serial",21.869925,0xFFF8,
"Async Serial",21.8864952,0xB9A0,
"Async Serial",21.8866674,0xFFF8,
"Async Serial",21.903238,0xB9A0,
"Async Serial",21.9034102,0xFFF8,
"Async Serial",21.919981,0xB9A0,
"Async Serial",21.9201532,0xFFF8,
"Async Serial",21.9367236,0xB9A0,
"Async Serial",21.9368957,0xFFF8,
"Async Serial",21.9534662,0xB9A0,
"Async Serial",21.9536383,0xFFF8,
"Async Serial",21.9702092,0xB9A0,
"Async Serial",21.9703814,0xFFF8,
"Async Serial",21.9869518,0xB9A0,
"Async Serial",21.9871241,0xFFF8,
"Async Serial",22.0036945,0xB9A0,
"Async Serial",22.0038667,0xFFF8,
"Async Serial",22.0204372,0xB9A0,
"Async Serial",22.0206093,0xFFF8,
"Async Serial",22.0371802,0xB9A0,
"Async Serial",22.0373523,0xFFF8,
"Async Serial",22.0539229,0xB9A0,
"Async Serial",22.0540952,0xFFF8,
"Async Serial",22.0706653,0xB9A0,
"Async Serial",22.0708375,0xFFF8,
"Async Serial",22.0874084,0xB9A0,
"Async Serial",22.0875806,0xFFF8,
"Async Serial",22.1041508,0xB9A0,
"Async Serial",22.104323,0xFFF8,
"Async Serial",22.1208938,0xB9A0,
"Async Serial",22.1210661,0xFFF8,
"Async Serial",22.1376362,0xB9A0,
"Async Serial",22.1378084,0xFFF8,
"Async Serial",22.154379,0xB9A0,
"Async Serial",22.1545512,0xFFF8,
"Async Serial",22.1711219,0xB9A0,
"Async Serial",22.171294,0xFFF8,
"Async Serial",22.1878645,0xB9A0,
"Async Serial",22.1880367,0xFFF8,
"Async Serial",22.2046075,0xB9A0,
